51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
