51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
51512,Television Broadcasting ,All other operating revenue ,All Establishments ,Employer Firms ,"5,463","6,025","5,692",1,1.7,1.1
